,features,Aggressive_label importance,Attractive_label importance,Confident_label importance,Intelligent_label importance,Masculine_label importance,Trust_label importance
115,F2.EY1_Norm,0.099366962458032,0.09278803222756404,0.12325328359474219,0.05679429806539744,0.1037473373517826,0.05338867914548831
114,F1.EY1_Norm,0.08324587207954504,0.06101062820810865,0.121921435242431,0.06441396138755552,0.12219190643819237,0.0533483225512174
92,f0sd,0.08483352954326151,0.08089357103986397,0.09971817787706924,0.07764663478441176,0.022687958533892383,0.0513054241881147
141,RMSE_max,0.11714348016894377,0.07777013141765814,0.1647078458440807,0.04226050194253442,0.09004734180904529,0.05099225139396013
7,Female,0.055268084199648744,0.09987064871103801,0.07688362346038824,0.022053982080766713,0.038423229124112813,0.05088190103632918
120,F1.IY1_Norm,0.07560372495179868,0.07691974974146973,0.08661358624564663,0.061254091591803596,0.10448186582280174,0.05086620411245213
25,Georgia,0.05820159210441154,0.05606590355284765,0.03186514274795116,0.04047441546743543,0.04277653875635675,0.050364666749289494
73,F3.AO1,0.1109660633725856,0.05191431988692729,0.0570931753151019,0.03334723356544805,0.07368172336001397,0.049582481574246696
70,F3.AH1,0.07842319048043066,0.08251440534476846,0.12161321656428098,0.049175541622999745,0.09642819792574062,0.04848878223050148
85,F3.IY1,0.10921931219180589,0.0681511862171043,0.09243507883760109,0.08136287018951302,0.07383301892159445,0.048358508130811516
83,F1.IY1,0.09898766808811439,0.08573318391186649,0.15092710458027897,0.040360273375425346,0.06112270616147243,0.047866050940685995
93,f0mean,0.09375516279023544,0.08537184079378482,0.1272058818115619,0.04685646006256579,0.08242796935744025,0.04711858738399142
43,Nevada,0.012568466397208503,0.047979993321907013,0.04142437463749367,0.030163287754688548,0.008573939722512957,0.04686352129056016
79,F3.EY1,0.08824507200111777,0.0719493985093791,0.13275383939908145,0.06930631545234045,0.055513707742905136,0.04685076733052039
122,F3.IY1_Norm,0.10626301006122046,0.04881416360886083,0.09480173622574459,0.09773721911054496,0.049742842692568255,0.04623021107644418
151,Pitch_8,0.1573493934119945,0.07806804411335008,0.170342108075767,0.07901822471770262,0.10217032615036763,0.04615023204269109
78,F2.EY1,0.10731585156680058,0.106055771352197,0.12786114280439967,0.057081581906368695,0.06627324336671302,0.045544210002950274
117,F1.IH1_Norm,0.0922105411397005,0.049687599144447855,0.09095089199346575,0.029115695919008255,0.05424504063749264,0.0434623637813934
